64		46,0	55,5	33,0	66,0
81		47,0	53,0	37,0	66,0
85		48,0	48,3	37,0	66,0
82		49,0	46,0	32,0	64,0
72		49,0	47,4	34,0	62,0
61		48,4	48,8	34,0	60,0
82		47,8	50,2	35,0	58,0
83		47,2	51,6	33,0	58,5
83		46,6	53,0	39,0	59,0
83		46,0	51,7	44,0	59,5
83		45,8	50,3	48,0	60,0
84		45,5	49,0	44,0	61,0
84		45,3	49,0	40,0	62,0
84		45,0	49,0	44,0	63,0
84		47,0	49,0	43,5	64,0
84		49,0	49,0	43,0	63,5
85		51,0	49,0	46,0	63,0
85		48,7	49,0	44,0	62,5
85		46,3	51,3	51,6	62,0
85		44,0	53,7	59,2	62,8
85		45,3	56,0	66,8	63,5
85		46,5	55,9	74,4	64,3
86		47,8	55,7	82,0	65,0
86		49,0	55,6	67,0	65,0
86		49,7	55,4	52,0	65,0
86		50,3	55,3	51,5	65,0
86		51,0	55,1	51,0	65,0
87		51,0	55,0	51,0	65,0
87		50,2	54,8	51,0	65,0
87		49,4	54,7	51,0	65,0
87		48,6	54,5	51,0	65,0
87		47,8	53,0		64,8
88		47,0	50,7		64,5
88		47,0	48,3	73	64,3
88		47,0	46,0	63	64,0
88		47,0	47,4	53	65,5
88		46,8	48,8	66,5	67,0
88		46,5	50,2	80	68,5
89		46,3	51,6	65,5	70,0
89		46,0	53,0	51	69,3
89		46,0	51,7	53	68,5
89		46,0	50,3	54,5	67,8
89		46,0	49,0	56	67,0
90		46,0	49,0	59	66,3
90		45,8	49,0	62	65,6
90		45,5	49,0	59	64,9
90		45,3	49,0	56	64,1
90		45,0	49,0	54,5	63,4
91		45,1	49,0	53	62,7
91		45,2	51,3	54	62,0
91		45,3	53,7	55	61,7
91		45,5	56,0	54,5	61,4
91		45,6	55,9	54	61,1
91		45,7	55,7	50,5	60,9
92		45,8	55,6	47	60,6
92		45,9	55,4	45	60,3
92		46,0	55,3	43	60,0
93		46,1	55,1	25,5	60,3
93		46,3	55,0	8	60,5
94		46,4	54,8	32,5	60,8
94		46,5	54,7	57	61,0
95		46,6	54,5	60,66666667	61,3
95		46,7	54,4	64,33333333	61,5
96		46,8	54,2	68	61,8
106		46,9	54,1	71,66666667	62,1
114		47,1	53,9	75,33333333	62,3
111		47,2	53,8	79	62,6
112		47,3	53,6	78	62,8
113		47,4	53,5	77	63,1
114		47,5	53,4	69,5	63,3
113		47,6	53,2	62	63,6
113		47,7	53,1	39	63,8
109		47,9	52,9	16	64,1
101		48,0	52,8	31,5	64,4
171		48,1	52,6	47	64,6
147		48,2	52,5	49,25	64,9
119		48,3	52,3	51,5	65,1
122		48,4	52,2	53,75	65,4
126		48,5	52,0	56	65,6
129	70	48,7	51,9	66,5	65,9
140	70	48,8	51,7	77	66,2
129	70	48,9	51,6	70,5	66,4
118	70	49,0	51,4	64	66,7
111	60	49,1	51,3	68,5	66,9
104	60	49,2	51,1	73	67,2
97	60	49,3	51,0	84	67,4
103	65	49,5	50,9	95	67,7
107	70	49,6	50,7	78,5	67,9
104	70	49,7	50,6	62	68,2
100	70	49,8	50,4	54	68,5
101	70	49,9	50,3	46	68,7
101	70	50,0	50,1	53	69,0
70	70	50,1	50,0	60	69,2
76	60	50,3	49,8	63	69,5
69	70	50,4	49,7	66	69,7
220	68	50,5	49,5	50,5	70,0
219	65	50,6	49,4	35	70,3
161	63	50,7	49,2	41	70,6
103	60	50,8	49,1	47	70,9
98	60	50,9	48,9	37	71,1
98	60	51,1	48,8	27	71,4
96	70	51,2	48,6	26,5	71,7
95	70	51,3	48,5	26	72,0
93	65	51,4	48,4	33,5	71,7
86	60	51,5	48,2	41	71,4
101	65	51,6	48,1	42,25	71,1
125	70	51,7	47,9	43,5	70,9
113	70	51,9	47,8	44,75	70,6
144	70	52,0	47,6	46	70,3
141	70	52,1	47,5	35,5	70,0
137	80	52,2	47,3	25	69,7
137	70	52,3	47,2	30,5	69,4
115	60	52,4	47,0	36	69,1
71	50	52,5	46,9	31,5	68,9
29	40	52,7	46,7	27	68,6
31	35	52,8	46,6	31,5	68,3
37	30	52,9	46,4	36	68,0
43	30	53,0	46,3	35	62,5
49	20	53,4	46,1	34	57,0
55	40	53,7	46,0	31	51,5
61	60	46,0	51,0	28	46,0
67	47	41,8	56,0	39	46,4
73	33	37,7	61,0	50	46,8
79	40	33,5	66,0	47	47,2
85	37	29,3	71,0	44	47,6
91	34	25,2	76,0	44,5	48,0
97	35	21,0	72,3	45	39,3
95	35	19,3	76,0	44	30,7
71	35	17,7	74,1	43	22,0
71	35	16,0	72,3	43	17,7
54	13	9,0	70,4	43	13,3
37	17	4,0	68,6	44,33333333	9,0
28	15	6,0	66,7	45,66666667	12,0
25	21	8,0	64,9	47	14,0
60	27	17,0	63,0	31	16,0
56	27	26,0	61,1	15	18,0
38	27	26,7	59,3	32,5	20,0
57	27	27,3	57,4	50	22,0
22	27	28,0	55,6	47	19,5
17	26	28,5	53,7	44	17,0
52	26	29,0	51,9	40	13,0
36	26	39,0	50,0	36	9,0
23	26	39,5	54,4	30	5,0
10	25	40,0	58,8	24	11,0
8	25	38,0	63,2	22,5	17,0
5	25	36,0	67,6	21	18,0
3	25	42,0	72,0	18	19,0
2	24	47,0	72,0	15	19,5
29	24	48,0	72,0	20	20,0
55	33	49,0	72,0	25	20,5
66	37	48,0	71,5	34,5	21,0
54	40	47,0	71,0	44	23,0
53	43	47,3	70,5	43,5	25,0
40	45	47,5	70,0	43	28,5
41	48	47,8	52,7	40,33333333	32,0
37	43	48,0	35,3	37,66666667	33,0
37	46	50,0	18,0	35	34,0
37	42	50,5	20,9	34	33,0
33	39	51,0	21,6	33	32,0
28	41	51,0	22,3	34	33,0
24	42	51,0	23,0	35	34,0
30	44	51,0	19,7	30,5	35,0
36	43	51,0	16,3	26	36,0
41	43	54,0	13,0	33	37,0
41	38	50,0	23,3	33	38,0
42	32	48,5	33,5	38	39,0
45	57	47,0	43,8	43	39,0
37	55	49,0	54,0	42	39,0
50	53	49,0	51,0	41	39,5
54	51	50,0	50,4	39,5	40,0
59	48	50,0	49,7	38	41,3
54	46	56,5	49,1	36	42,7
54	44	63,0	48,4	40	44,0
62	79	69,0	47,8	36	45,0
70	82	68,0	47,1	38	46,0
78	86	67,0	46,5	44	47,0
64	85	69,0	45,9	40	48,0
73	85	71,0	45,2	44	48,0
81	88	73,0	44,6	42	48,0
80	91	75,0	43,9	37	47,0
83	83	75,5	43,3	44	46,5
86	86	75,9	42,6	43	46,0
89	88	75,0	42,0	42,5	46,0
91	87	80,0	48,5	42	46,0
93	82	85,0	55,0	42,4375	45,7
100	82	80,0	57,0	42,875	45,3
94	82	82,0	58,7	43,3125	45,0
88	84	81,0	60,3	43,75	45,7
85	88	78,0	62,0	44,1875	46,3
83	87	76,0	63,7	44,625	47,0
90	85	73,0	65,3	45,0625	46,3
99	84	72,0	67,0	45,28125	45,7
95	82	70,0	70,0	45,5	45,0
95	92	69,0	70,0	45,9375	45,3
95	91	71,7	70,0	46,375	45,7
97	88	73,0	70,0	46,8125	46,0
100	93	73,0	61,5	47,03125	45,7
95	98	69,0	74,0	47,25	45,3
83	95	72,0	74,3	47,6875	45,0
125	97	76,0	74,7	48,125	44,8
97	98	69,0	75,0	48,34375	44,5
57	99	68,0	77,0	48,5625	44,3
87	101	69,0	79,0	43,70625	44,0
102	102	70,0	85,0	38,85	44,0
97	103	67,0	84,0	33,99375	44,0
86	104	69,0	84,0	29,1375	44,0
90	98	80,0	87,0	24,28125	44,0
90	101	78,0	84,8	19,425	44,0
90	105	76,0	82,5	14,56875	44,5
90	106	75,5	80,3	9,7125	45,0
90	107	75,0	78,0	4,85625	45,0
90	108	74,5	77,9	0	45,0
88	108	74,0	77,8	49	45,0
88	109	73,5	77,7	49,66666667	45,0
83	110	73,0	77,6	50,33333333	45,0
78	111	75,0	77,5	51	45,0
75	112	72,0	77,4		45,0
76	113	71,0	77,3		45,0
75	113	70,0	77,2		45,0
76	114	71,0	77,1		46,0
77	115	71,0	77,1		47,0
67	116	71,0	77,0		47,0
61	89	76,0	76,9		47,0
56	83	81,0	76,8		47,0
62	88	81,0	76,7		46,5
68	93	81,0	76,6		46,0
75	96	80,5	76,5		46,5
81	98	80,0	76,4		47,0
87	97	80,0	76,3		46,5
82	96	79,0	76,2		46,0
79	94	78,0	76,1		47,5
78	96	77,0	76,0		49,0
77	98	80,0	75,9		48,0
77	91	79,5	75,8		50,0
76	96	79,0	75,7		50,0
43	97	77,0	75,6		48,0
85	93	77,0	75,5		48,5
104	89	77,0	75,4		49,0
78	98	76,0	75,4		50,0
40	90	75,0	75,3		51,0
75	81	72,5	75,2		50,0
84	80	70,0	75,1		49,0
80	79	71,0	75,0		48,0
82	76	73,0	74,9		47,0
82	74	70,0	74,8		47,0
83	78	66,0	74,7		47,0
97	82	66,0	74,6		47,0
81	82	66,0	74,5		47,0
77	79	68,0	74,4		47,0
73	77	68,5	74,3		46,0
69	74	69,0	74,2		45,0
68	77	67,0	74,1		44,3
67	79	65,0	74,0		43,7
65	82	64,0	73,9		43,0
65	84	63,0	73,8		42,5
61	87	63,0	73,7		42,0
64	78	62,5	73,7		41,0
67	74	62,0	73,6	43	40,0
66	69	62,0	73,5	42,55555556	40,0
64	69	62,0	73,4	42,11111111	40,0
63	55	62,0	73,3	41,66666667	40,0
63	71	62,0	73,2	41,22222222	40,0
64	62	65,0	73,1	40,77777778	40,0
65	66	64,5	73,0	40,33333333	39,8
66	63	64,0	72,9	39,88888889	39,7
65	60	62,0	72,8	39,44444444	39,5
60	62	59,0	72,1	39	39,3
55	66	59,0	71,3		39,2
57	60	58,5	70,6		39,0
60	59	58,0	69,8		38,0
64	59	61,0	69,1		38,3
67	59	63,0	68,3		38,6
70	59	64,0	67,6		38,9
58	58	66,0	66,8		39,1
60	57	64,0	66,1		39,4
49	58	65,0	65,3		39,7
109	62	65,0	64,6		40,0
60	65	65,0	63,9		40,6
61	67	65,0	63,1		41,3
61	67	63,0	62,4		41,9
62	68	61,0	61,6		42,5
65	69	59,0	60,9		43,1
66	65	57,0	60,1		43,8
67	61	55,0	59,4		44,4
68	57	53,0	58,6		45,0
58	56	61,0	57,9		44,0
56	54	69,0	57,1		44,1
54	53	55,0	56,4		44,3
69	53	54,0	55,7		44,4
51	56	52,0	54,9		44,6
59	57	52,0	54,2		44,7
82	53	52,0	53,4	36	44,9
104	53	53,3	52,7	36	45,0
105	53	54,7	51,9	36,5	45,3
106	54	56,0	51,2	37	45,7
64	53	55,0	50,4	37,5	46,0
53	54	53,5	49,7	38	47,0
56	55	52,0	48,9	40,5	48,0
57	58	56,0	48,2	43	48,0
58	59	56,0	47,5	42,5	48,0
56	57	54,0	46,7	42	48,0
53	56	52,5	46,0	40,66666667	48,0
114	56	51,0	45,2	39,33333333	48,0
100	55	52,5	44,5	38	48,0
86	52	54,0	43,7	37,5	48,3
71	49	56,5	43,0	37	48,7
57	59	59,0	42,2	36,5	49,0
57	57	55,5	41,5	36	48,3
58	55	52,0	40,7	38	47,7
58	57	48,0	40,0	40	47,0
58	58	49,0	39,3	42	47,0
59	57	50,0	38,5	41,66666667	47,0
59	55	51,0	37,8	41,33333333	47,0
59	56	51,0	37,0	41	47,0
60	57	51,0	36,3	40	47,3
60	56	51,0	35,5	42	47,7
57	54	51,0	34,8	44	48,0
55	52	50,3	34,0	46	48,0
54	51	49,7	33,3	46	48,0
56	49	49,0	32,5	46	48,0
57	48	49,0	31,8	47,5	48,0
58	46	46,0	31,9	49	48,0
57	49	48,0	32,0	43,33333333	48,7
59	50	47,0	32,1	37,66666667	49,3
