"","      X1","      X2","      X3","      X4","      X5","      X6","      X7"
"","Min.   :  0.00  ","Min.   :-12.620  ","Min.   :-26.525  ","Min.   :-27.180  ","Min.   :-24.483  ","Min.   :-34.917  ","Min.   :-37.800  "
"","1st Qu.: 90.75  ","1st Qu.:  0.000  ","1st Qu.:  0.000  ","1st Qu.: -8.194  ","1st Qu.: -5.829  ","1st Qu.:-15.815  ","1st Qu.:-18.565  "
"","Median :181.50  ","Median :  0.000  ","Median :  3.910  ","Median :  3.183  ","Median : 10.830  ","Median : -9.950  ","Median :-14.560  "
"","Mean   :181.50  ","Mean   :  5.865  ","Mean   :  3.759  ","Mean   :  1.629  ","Mean   : 10.130  ","Mean   : -7.425  ","Mean   :-13.958  "
"","3rd Qu.:272.25  ","3rd Qu.: 11.558  ","3rd Qu.:  7.545  ","3rd Qu.:  7.875  ","3rd Qu.: 20.670  ","3rd Qu.:  0.000  ","3rd Qu.: -9.096  "
"","Max.   :363.00  ","Max.   : 56.883  ","Max.   : 43.140  ","Max.   : 79.283  ","Max.   : 63.800  ","Max.   : 60.900  ","Max.   : 29.400  "
