"","      X1","      X2","      X3","      X4","      X5","      X6","      X7"
"","Min.   :  0.00  ","Min.   :-27.917  ","Min.   :-23.250  ","Min.   :-34.2500  ","Min.   :-35.250  ","Min.   :-61.786  ","Min.   :-34.080  "
"","1st Qu.: 90.75  ","1st Qu.:  5.375  ","1st Qu.:  0.000  ","1st Qu.:-11.6950  ","1st Qu.:-12.287  ","1st Qu.:-16.950  ","1st Qu.:-19.045  "
"","Median :181.50  ","Median : 13.142  ","Median :  2.336  ","Median : -0.8533  ","Median : -6.420  ","Median : -6.650  ","Median : -4.908  "
"","Mean   :181.50  ","Mean   : 17.858  ","Mean   :  5.436  ","Mean   : -3.5303  ","Mean   : -2.803  ","Mean   : -9.077  ","Mean   : -7.883  "
"","3rd Qu.:272.25  ","3rd Qu.: 27.400  ","3rd Qu.:  8.985  ","3rd Qu.:  3.6122  ","3rd Qu.:  3.777  ","3rd Qu.:  0.000  ","3rd Qu.:  2.371  "
"","Max.   :363.00  ","Max.   :137.450  ","Max.   : 40.400  ","Max.   : 17.8104  ","Max.   : 42.167  ","Max.   : 23.150  ","Max.   : 24.600  "
