	102	129,0		73,0
	101	116,0		72,5
	100	95,0		72,0
	98	91,0		65,5
	97	99,5		59,0
	96	108,0		52,5
	95	98,0		46,0
	94	88,0		47,8
	93	78,0		49,5
	92	79,7		51,3
	90	81,3		53,0
	89	83,0		56,0
	88	86,0		59,0
	87	89,0		62,0
	86	83,8		65,0
	85	78,5		67,3
	84	73,3		69,5
	82	68,0		71,8
	81	73,0		74,0
	80	78,0		79,0
	79	83,0		84,0
	78	85,0		89,0
	77	87,0		94,0
	76	89,0		91,3
	74	91,0		88,5
	73	91,9		85,8
	72	92,7		83,0
	71	93,6		83,5
	64	94,4		84,0
	68	95,3		84,5
	73	96,1		85,0
	80,8	97,0		81,5
	80,0	97,9		78,0
	81,3	98,7	92	74,5
	82,7	99,6	86	71,0
	84,0	100,4	80	72,8
	86,3	101,3	83,5	74,5
	88,5	102,1	87	76,3
	90,8	103,0	85,5	78,0
	93,0	103,9	84	76,5
	92,3	104,7	74	75,0
	91,5	105,6	87,5	73,5
	90,8	106,4	101	72,0
	90,0	107,3	92,5	69,7
	89,8	108,1	84	67,4
	89,5	109,0	77	65,1
	89,3	109,9	70	62,9
	89,0	110,7	76	60,6
	88,8	111,6	82	58,3
	88,5	112,4	84	56,0
	88,3	113,3	86	57,7
	88,1	114,1	83	59,4
	87,9	115,0	80	61,1
	87,6	115,9	79,5	62,9
	87,4	116,7	79	64,6
	87,2	117,6	76,5	66,3
	86,9	118,4	74	68,0
	86,7	119,3	65	68,3
	86,5	120,1	56	68,6
	86,3	121,0	59,5	68,9
	86,0	121,9	63	69,2
	85,8	122,7	65,83333333	69,5
	85,6	123,6	68,66666667	69,8
	85,3	124,4	71,5	70,2
	85,1	125,3	74,33333333	70,5
	84,9	126,1	77,16666667	70,8
	84,7	127,0	80	71,1
	84,4	127,9	81	71,4
	84,2	128,7	82	71,7
	84,0	129,6	51	72,0
	83,7	130,4	20	72,3
	83,5	131,3	33	72,6
	83,3	132,1	46	72,9
	83,1	133,0	30	73,2
	82,8	133,9	14	73,5
	82,6	134,7	23	73,8
	82,4	135,6	32	74,2
	82,1	136,4	41	74,5
	81,9	137,3	50	74,8
183	81,7	138,1	64	75,1
182	81,5	139,0	78	75,4
181	81,2	139,9	59,5	75,7
180	81,0	140,7	41	76,0
179	80,8	141,6	52,5	76,3
178	80,5	142,4	64	76,6
177	80,3	143,3	75,5	76,9
176	80,1	144,1	87	77,2
174	79,9	145,0	69	77,5
173	79,6	148,7	51	77,8
172	79,4	152,4	42	78,2
171	79,2	156,1	33	78,5
170	78,9	159,9	41	78,8
156	78,7	163,6	49	79,1
141	78,5	167,3	40,5	79,4
127	78,3	171,0	32	79,7
113	78,0	164,0	23,5	80,0
99	77,8	157,0	15	78,6
84	77,6	156,6	18	77,1
70	77,3	156,1	21	75,7
77	77,1	155,7	16	74,3
83	76,9	155,3	11	72,9
90	76,7	154,9	12,5	71,4
97	76,4	154,4	14	70,0
103	76,2	154,0	51,5	70,0
110	76,0	153,6	89	70,0
114	75,7	153,1	72,75	70,0
118	75,5	152,7	56,5	70,0
121	75,3	152,3	40,25	70,0
125	75,1	151,9	24	70,0
129	74,8	151,4	34,5	70,0
133	74,6	151,0	45	70,0
136	74,4	151,0	37,5	70,0
140	74,1	151,0	30	70,0
145	73,9	151,0	23	70,0
150	73,7	151,0	16	70,0
155	73,5	151,0	28	70,0
160	73,2	149,3	40	70,0
165	73,0	147,7	55,5	68,3
170	72,7	146,0	71	66,7
175	72,3	116,8	52	65,0
180	72,0	87,5	33	63,3
185	66,5	58,3	34	61,7
190	61,0	29,0	35	60,0
195	55,5	52,6	73	58,3
200	50,0	76,1	111	56,7
205	44,5	99,7	75	55,0
210	39,0	123,3	39	40,0
215	32,8	146,9	39	25,0
220	26,6	170,4	39	10,0
225	20,4	194,0	39	7,3
230	14,2	154,7	39	4,7
235	8,0	115,3	38	2,0
240	24,0	76,0	37	21,0
238	40,0	68,5	36	20,2
235	34,5	61,0	33,5	19,4
233	29,0	53,5	31	18,6
231	30,3	46,0	31,5	17,8
228	31,7	45,0	32	17,0
226	33,0	42,5	35	17,0
224	34,5	40,0	38	17,0
221	36,0	38,5	31,5	16,7
219	37,0	37,0	25	16,3
217	37,0	35,5	23	16,0
214	37,0	34,0	21	16,0
212	38,0	33,5	21	16,0
210	38,0	33,0	21	15,5
207	40,0	35,0	17	15,0
205	42,0	35,0	13	15,5
203	43,0	36,0	16	16,0
200	44,0	37,0	19	16,0
198	47,0	38,0	18,5	16,0
196	50,0	39,0	18	17,0
193	53,3	41,5	21,5	18,0
191	56,7	44,0	25	19,0
189	60,0	52,0	27	20,0
187	62,0	54,3	29	21,5
184	67,0	56,7	31	23,0
182	73,5	59,0	29	23,5
180	80,0	66,7	27	24,0
177	81,7	74,3	30	24,0
175	83,3	82,0	33	24,0
173	85,0	89,3	39	24,0
170	86,0	96,5	45	24,0
168	92,0	103,8	42	27,0
166	95,5	111,0	43	30,0
163	99,0	119,0	52,5	33,0
161	97,0	127,0	62	35,5
159	98,0	127,7	63	38,0
156	100,0	128,3	64	42,0
154	102,0	129,0	63,5	46,0
152	104,0	131,0	63	50,7
149	116,5	133,0	64	55,3
147	129,0	136,0	71	60,0
145	138,0	137,0	68	57,0
142	130,0	139,0	65	61,7
142	128,0	144,0	72	66,3
150	135,0	147,5	72	71,0
145	131,3	151,0	77	71,0
147	134,7	154,5	78	71,0
143	138,0	158,0	76	72,0
145	138,0	155,5	79	74,5
148	138,0	153,0	78	77,0
142	138,0	152,0	78,5	77,5
153	139,0	151,0	79	78,0
157	149,0	150,0	79,79310345	79,3
157	150,0	149,0	80,5862069	80,7
157	153,0	148,0	81,37931034	82,0
160	145,5	147,0	82,17241379	83,7
171	138,0	146,0	82,96551724	85,3
174	138,0	145,0	83,75862069	87,0
177	139,0	144,0	84,55172414	87,3
179	141,0	143,0	85,34482759	87,7
182	140,0	142,0	86,13793103	88,0
175	136,0	141,0	86,93103448	88,7
182	139,3	140,0	87,72413793	89,3
171	142,7	139,0	88,51724138	90,0
177	146,0	138,0	89,31034483	90,0
178	141,0	137,0	90,10344828	90,0
184	146,0	136,0	90,89655172	90,0
187	151,0	135,0	91,68965517	90,0
189	142,0	134,0	92,48275862	90,0
190	141,0	133,0	93,27586207	90,0
190	140,0	132,0	94,06896552	90,0
190	141,0	131,0	94,86206897	88,0
190	143,0	130,0	95,65517241	86,0
190	143,0	129,0	96,44827586	88,0
200	146,0	128,0	97,24137931	90,0
170	167,0	127,1	98,03448276	92,0
175	162,0	126,1	98,82758621	91,5
180	157,0	125,1	99,62068966	91,0
190	157,3	124,1	100,4137931	90,7
180	157,5	123,1	101,2068966	90,3
190	157,8	122,1	102	90,0
200	158,0	121,1	101,6666667	89,7
190	158,0	120,1	101,3333333	89,3
204	158,0	119,1	101	89,0
217	155,0	118,1	103	89,3
212	153,0	117,1	102,75	89,7
219	153,0	116,1	102,5	90,0
219	151,0	115,1	102,25	90,5
211	154,0	114,1	102	91,0
208	157,0	113,1	102,5	91,0
201	160,0	112,1	103	91,0
203	167,5	111,1	103	91,0
211	175,0	110,1	103	90,5
211	176,0	109,1	103	90,0
217	178,0	108,1	103	91,0
223	179,0	107,1	103	92,0
224	180,0	106,1	103,1666667	91,0
224	181,0	105,1	103,3333333	90,0
219	182,0	104,1	103,5	94,0
222	183,0	103,1	103,6666667	98,0
228	185,0	102,1	103,8333333	94,0
219	189,0	101,1	104	95,0
227	187,5	97,3	104,5	95,0
228	186,0	98,9	105	95,0
220	184,0	100,4	105,5	95,0
227	186,0	102,0	106	97,5
227	188,0	105,0	106,5	100,0
215	186,5	102,4	107	99,0
202	185,0	99,9	107,5	98,0
203	179,0	97,3	108	101,0
203	173,0	96,2	108,3333333	100,0
201	177,0	95,1	108,6666667	99,0
198	180,0	94,0	109	98,0
197	172,0	92,9	108,6666667	98,0
211	168,0	91,8	108,3333333	98,0
211	167,0	90,7	108	98,0
201	166,0	89,6	107,5714286	99,5
201	165,0	88,5	107,1428571	101,0
201	164,0	87,4	106,7142857	100,0
203	163,0	86,3	106,2857143	99,0
206	165,0	85,2	105,8571429	98,3
211	167,0	84,1	105,4285714	97,7
215	165,0	93,4	105	97,0
220	163,0	102,6	106,6666667	96,5
199	163,0	111,9	108,3333333	96,0
197	162,5	121,1	110	95,5
194	162,0	130,4	109,25	95,0
192	162,0	139,6	108,5	94,3
191	162,0	148,9	107,75	93,7
189	160,5	158,1	107	93,0
180	159,0	167,4	106,25	92,5
176	162,0	176,6	105,5	92,0
176	162,5	185,9	104,75	91,2
176	163,0	168,5	104	90,4
178	159,0	167,2	104	89,6
178	156,0	166,0		88,8
175	155,0	164,7		88,0
173	154,0	163,5		87,0
173	153,0	162,2		86,0
173	154,0	160,9		86,0
173	157,0	159,7		86,0
170	160,0	158,4		86,0
167	166,0	157,2		86,0
174	169,0	155,9		86,0
175	166,0	154,7		86,0
175	166,3	153,4		86,0
188	166,7	152,1		86,8
192	167,0	150,9		87,5
188	164,0	149,6		88,3
187	161,0	148,4		89,0
192	158,0	147,1		89,8
197	155,0	145,8		90,5
202	152,0	144,6		91,3
177	149,0	143,3		92,0
181	170,0	142,1		87,0
160	191,0	140,8		87,0
159	150,0	139,5		87,0
164	148,0	138,3		87,0
163	143,0	137,0		87,0
158	142,5	135,8	105	87,0
159	142,0	134,5	105	87,0
159	141,7	133,3	104	87,0
155	141,3	132,0	103	86,7
153	141,0	130,7	102	86,3
152	147,0	129,5	101	86,0
157	149,0	128,2	99,5	85,0
159	151,0	127,0	98	84,0
162	145,0	125,7	103	85,0
162	145,0	124,4	108	86,0
163	143,0	123,2	105	87,0
162	140,5	121,9	102	87,0
162	138,0	120,7	99	87,0
162	139,0	119,4	100,5	87,0
161	140,0	118,1	102	87,0
162	145,0	116,9	102	87,0
169	150,0	115,6	102	87,0
163	142,5	114,4	100	87,0
165	135,0	113,1	98	87,0
166	126,0	111,8	96	87,0
164	129,0	110,6	96	90,0
161	132,0	109,3	96	93,0
161	135,0	108,1	96	92,5
162	132,5	106,8	93	92,0
161	130,0	105,6	93,66666667	91,7
158	130,0	104,3	94,33333333	91,3
153	130,0	103,0	95	91,0
152	129,7	101,8	95,5	91,0
147	129,3	100,5	96	91,0
145	129,0	99,3	71	91,0
143	129,0	98,0	46	91,0
147	130,0	99,0	62	91,0
142	134,0	71,0	78	91,7
141	127,0	83,0	94	92,3
