	133	81		90	88,5		39,0	38,6
	134	98		90	92,0		38,5	39,4
	136	102		91	79,3		38,0	40,3
	137	106		91	73,0		37,5	41,1
	139	131		94	73,4		37,0	42,0
	140	156		95	73,8		36,5	42,5
	142	112		95	74,2		36,0	43,0
	143	136		96	74,6		40,5	43,5
	142	160		96	75,0		45,0	44,0
	144	159		97	78,7		49,5	44,5
	148	159		95	82,3		54,0	45,0
	149	158		92	86,0		54,3	44,8
	148	157		90	85,0		54,5	44,6
	147	156		87	84,0		54,8	44,4
	140	156		87	83,8		55,0	44,2
	143	155		86	83,5		55,0	44,0
	142	154		86	83,3		55,0	44,2
83	142	154		86	83,0		55,0	44,3
83	149	153		85	83,0		55,0	44,5
83	137	152		85	83,0		57,5	44,7
83	149	151		84	83,0		60,0	44,8
84	105	151		84	83,8		62,5	45,0
84	128	150		83	84,6		65,0	44,9
84	150	149		82	85,3		65,8	44,8
84	149	148		81	86,1		66,5	44,6
84	152	148		81	86,9		67,3	44,5
84	154	147		80	87,7		68,0	44,4
84	160	146			88,4		67,8	44,3
84	157	146			89,2		67,5	44,1
85	150	145			90,0		67,3	44,0
85	154	144			90,8		67,0	43,7
85	159	143		80,8	91,5		67,8	43,3
85	163	143		80,0	92,3		68,5	43,0
85	154	142		82,7	93,1	73	69,3	42,7
85	140	141		85,3	93,9	76,5	70,0	42,3
85	143	141		88,0	94,6	80	70,5	42,0
85	139	140		89,0	95,4	79	71,0	43,2
86	145	139		90,0	96,2	78	71,5	44,4
86	147	138		91,0	97,0	73,66666667	72,0	45,6
86	143	138		92,0	97,7	69,33333333	71,5	46,8
86	150	137		91,5	98,5	65	71,0	48,0
89	148	136		91,0	99,3	91,5	70,5	48,8
90	140	135		90,5	100,1	118	70,0	49,6
91	137	135		90,0	100,9	101,5	69,7	50,4
93	149	134		87,3	101,6	85	69,4	51,2
94	162	133		84,5	102,4	80,5	69,1	52,0
95	174	133		81,8	103,2	76	68,9	51,8
96	168	132		79,0	104,0	77	68,6	51,6
98	147	131		79,0	104,7	78	68,3	51,4
99	157	130		79,0	105,5	78	68,0	51,2
99	164	130		79,0	106,3	78	67,6	51,0
98	165	129		79,0	107,1	76,5	67,1	51,1
98	164	129		79,0	107,8	75	66,7	51,2
98	164	129		79,0	108,6	75,5	66,3	51,3
97	164	128		79,0	109,4	76	65,9	51,3
97	182	128		79,0	110,2	74,5	65,4	51,4
102	180	128		79,0	110,9	73	65,0	51,5
107	160	129		79,0	111,7	69,75	65,0	51,6
111	155	131		79,0	112,5	66,5	65,1	51,7
116	151	132		79,0	113,3	63,25	65,1	51,8
121	160	133		79,0	114,0	60	65,1	51,8
126	155	134		79,0	114,8	62,66666667	65,1	51,9
130	134	136		79,0	115,6	65,33333333	65,2	52,0
135	148	137		79,0	116,4	68	65,2	53,2
141	158	148		79,0	117,1	70,66666667	65,2	54,4
143	156	152		79,0	117,9	73,33333333	65,2	55,6
146	158	150		79,0	118,7	76	65,3	56,8
149	154	151		79,0	119,5	75,5	65,3	58,0
152	155	149		79,0	120,3	75	65,3	58,2
155	155	149		79,0	121,0	76	65,3	58,4
158	155	151		79,0	121,8	77	65,4	58,6
