	39,3	70,0	67,0		24,0
	42,0	68,0	65,5		31,0
	39,0	66,0	65,4		31,0
	36,0	64,0	65,5		31,0
	33,0	70,4	65,6		30,8
	30,0	76,8	65,7		30,5
	29,4	83,2	65,7		30,3
	28,8	89,6	65,8		30,0
	28,2	96,0	65,9		28,8
	27,6	88,0	66,0		27,5
	27,0	80,0	66,1		26,3
	27,3	72,0	66,2		25,0
	27,5	64,0	66,3		25,3
	27,8	56,0	66,4		25,5
	28,0	47,4	66,5		25,8
	29,0	46,6	66,6		26,0
	30,0	45,8	66,6		26,0
	31,0	45,0	66,7		26,0
	32	44,2	66,8		26,0
	32	43,4	66,9		26,0
	33	42,6	67,0		27,8
	34	41,8	67,1		29,5
	35	41,0	67,2		31,3
	36	40,2	67,3		33,0
	37	39,4	67,4		33,8
	37,0	38,6	67,4		34,5
	37,0	37,8	67,5		35,3
	37,0	37,0	67,6		36,0
	36,2	36,2	67,7		35,8
	35,4	35,4	67,8		35,5
	34,6	34,6	67,9		35,3
		33,8	68,0		35,0
		33,0	68,1		36,3
		33,0	68,2	55,0	37,5
		33,0	68,3	59,0	38,8
		33,0	68,3	63,0	40,0
		34,0	68,4	78,5	40,0
		35,0	68,5	94,0	40,0
		36,0	68,6	73,5	40,0
		37,0	68,7	53,0	40,0
		37,0	68,8	65,0	39,0
		37,0	68,9	73,5	38,0
		37,0	69,0	82,0	37,0
		37,0	69,1	64,5	36,0
		37,8	69,1	47,0	35,7
		38,5	69,2	60,0	35,4
		39,3	69,3	73,0	35,1
		40,0	69,4	76,5	34,9
		39,9	69,5	80,0	34,6
		39,7	69,6	88,5	34,3
		39,6	69,7	97,0	34,0
		39,5	69,8	110,5	32,6
		39,4	69,9	124,0	31,1
		39,2	70,0	125,5	29,7
		39,1	70,0	127,0	28,3
		39,0	70,1	72,5	26,9
		38,8	70,2	18,0	25,4
		38,7	70,3	25,0	24,0
		38,6	70,4	32,0	36,4
		38,5	70,5	53,5	36,7
		38,3	70,6	75,0	37,0
		38,2	70,7	74,8	37,3
		38,1	70,8	74,7	37,7
		37,9	70,9	74,5	38,0
		37,8	70,9	74,3	38,3
		37,7	71,0	74,2	38,6
		37,6	71,1	74,0	38,9
		37,4	71,2	74,0	39,2
		37,3	71,3	74,0	39,5
		37,2	71,4	60,5	39,8
		37,0	71,5	47,0	40,1
		36,9	71,6	37,5	40,4
		36,8	71,7	28,0	40,7
		36,7	71,7	23,0	41,0
		36,5	71,8	18,0	41,3
		36,4	71,9	20,8	41,6
		36,3	72,0	23,5	41,9
		36,1	72,1	26,3	42,2
		36,0	72,2	29,0	42,5
	90	35,9	72,3	31,0	42,8
	100	35,8	72,4	33,0	43,1
	91	35,6	72,5	31,0	43,4
	81	35,5	72,6	29,0	43,7
	70	35,4	72,6	28,5	44,0
	65	35,2	72,7	28,0	44,3
	60	35,1	72,8	58,0	44,7
	70	35,0	72,9	88,0	45,0
	80	34,9	73,0	59,5	45,3
	80	34,7	43,0	31,0	45,6
	80	34,6	47,3	34,0	45,9
	80	34,5	51,7	37,0	46,2
	80	34,3	56,0	38,5	46,5
	80	34,2	60,3	40,0	46,8
	70	34,1	64,7	43,0	47,1
	70	34,0	69,0	46,0	47,4
	68	33,8	76,0	34,0	47,7
	65	33,7	68,0	22,0	48,0
	63	33,6	68,1	29,0	46,9
	60	33,4	68,1	36,0	45,7
	60	33,3	68,2	34,0	44,6
	60	33,2	68,3	32,0	43,4
	50	33,1	68,4	32,5	42,3
	60	32,9	68,4	33,0	41,1
	60	32,8	68,5	32,5	40,0
	60	32,7	68,6	32,0	40,9
	60	32,5	68,6	32,8	41,7
	60	32,4	68,7	33,5	42,6
	60	32,3	68,8	34,3	43,4
	60	32,2	68,9	35,0	44,3
	60	32,0	68,9	33,5	45,1
	60	31,9	69,0	32,0	46,0
	65	31,8	69,0	30,5	46,0
	70	31,6	69,0	29,0	46,0
	65	31,5	69,0	29,0	46,0
	60	31,4	69,0	29,0	46,0
	45	31,3	69,0	31,0	46,0
	30	31,1	69,0	33,0	46,0
	20	31,0	69,0	31,0	46,0
